************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 05/25/2024 10:30:42
Simulation start date: 04/11/2024
Simulation end date: 05/24/2024
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: btk 2024 basil trial
************************************************************************
Year-DOY  Year  DOY  DOW      Date  ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig    Rain  Year  DOY  DOW      Date
2024-117  2024  117  Fri  04/26/24  1.970 0.400 0.400 0.036 1.180 0.000 1.000 1.000  12.573 0.000 0.000  0.000   0.000 0.400  0.788   2.800 -99.999 -99.999 0.035 0.568   1.592 0.000 0.000  0.000  0.000   0.000 -99.999   2.800   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  117  Fri  04/26/24
2024-118  2024  118  Sat  04/27/24  3.523 0.423 0.423 0.061 1.211 0.026 1.000 0.974  12.573 0.000 0.000  0.000   0.000 0.423  1.492   2.931 -99.999 -99.999 0.037 0.540   1.584 0.174 0.074  0.260  0.260   0.000 -99.999   2.931   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  118  Sat  04/27/24
2024-119  2024  119  Sun  04/28/24  2.190 0.447 0.447 0.087 1.179 0.053 1.000 0.947  12.573 0.000 0.000  0.000   0.000 0.447  0.978   3.061 -99.999 -99.999 0.038 0.561   1.717 0.175 0.078  0.171  0.171   0.000 -99.999   3.061   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  119  Sun  04/28/24
2024-120  2024  120  Mon  04/29/24  3.189 0.470 0.470 0.112 1.181 0.078 1.000 0.922  12.573 0.000 0.000  0.000   0.000 0.470  1.499   3.192 -99.999 -99.999 0.040 0.540   1.724 0.161 0.076  0.241  0.241   0.000 -99.999   3.192   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  120  Mon  04/29/24
2024-121  2024  121  Tue  04/30/24  3.909 0.493 0.493 0.138 1.216 0.099 1.000 0.901  12.573 0.000 0.000  0.000   0.000 0.493  1.928   3.323 -99.999 -99.999 0.042 0.523   1.737 0.150 0.074  0.289  0.289   0.000 -99.999   3.323   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  121  Tue  04/30/24
2024-122  2024  122  Wed  05/01/24  3.783 0.517 0.517 0.163 1.206 0.124 1.000 0.876  12.573 0.000 0.000  0.000   0.000 0.517  1.954   3.453 -99.999 -99.999 0.043 0.522   1.802 0.144 0.074  0.282  0.282   0.000 -99.999   3.453   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  122  Wed  05/01/24
2024-123  2024  123  Thu  05/02/24  2.341 0.540 0.540 0.189 1.149 0.160 1.000 0.840  11.313 0.000 0.000  0.000   0.000 0.540  1.264   3.584 -99.999 -99.999 0.045 0.549   1.969 0.147 0.079  0.186  0.186   0.000 -99.999   2.379   0.664 -99.999 -99.999 -99.999 -99.999   1.260   0.000  2024  123  Thu  05/02/24
2024-124  2024  124  Fri  05/03/24  1.744 0.563 0.563 0.214 1.149 0.185 1.000 0.815   0.345 0.276 0.161  0.281   7.607 0.725  1.264   3.715 -99.999 -99.999 0.046 0.549   2.041 0.898 0.667  1.164  0.882  15.377 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  18.920   0.000  2024  124  Fri  05/03/24
2024-125  2024  125  Sat  05/04/24  2.676 0.587 0.587 0.240 1.187 0.200 1.000 0.800   2.351 1.000 0.600  1.605   0.000 1.187  3.175   3.845 -99.999 -99.999 0.048 0.473   1.819 1.000 1.187  3.175  1.570   0.000 -99.999   3.175   0.826 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  125  Sat  05/04/24
2024-126  2024  126  Sun  05/05/24  2.652 0.610 0.610 0.265 1.143 0.239 1.000 0.761   4.209 1.000 0.533  1.414   0.000 1.143  3.032   3.976 -99.999 -99.999 0.050 0.479   1.903 0.567 0.879  2.331  0.916   0.000 -99.999   3.976   1.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  2024  126  Sun  05/05/24
